Abbreviation,State,Level,Point,X,Y,Y2,Y3,Y4,Y5,Y6
PA,Pennsylvania,4,4,18,3,3,3,5.7,5.3,6.9
PA,Pennsylvania,4,5,17,2,2,2,4.7,4.7,6.3
PA,Pennsylvania,4,6,17,0,0.5,0.9,3.6,3.6,5.2
OR,Oregon,5,1,3,-4,-3.5,-3.1,0.5,0.9,2.9
OR,Oregon,5,2,4,-3,-2.5,-2.1,1.5,1.5,3.5
OR,Oregon,5,3,4,-1,-1,-1,2.6,2.6,4.6
OR,Oregon,5,4,3,0,0,0,3.6,3.2,5.2
OR,Oregon,5,5,2,-1,-1,-1,2.6,2.6,4.6
OR,Oregon,5,6,2,-3,-2.5,-2.1,1.5,1.5,3.5
OK,Oklahoma,7,1,9,-10,-9.5,-9.1,-3.7,-3.3,-0.5
OK,Oklahoma,7,2,10,-9,-8.5,-8.1,-2.7,-2.7,0.1
OK,Oklahoma,7,3,10,-7,-7,-7,-1.6,-1.6,1.2
OK,Oklahoma,7,4,9,-6,-6,-6,-0.6,-1,1.8
OK,Oklahoma,7,5,8,-7,-7,-7,-1.6,-1.6,1.2
OK,Oklahoma,7,6,8,-9,-8.5,-8.1,-2.7,-2.7,0.1
OH,Ohio,4,1,16,-1,-0.5,-0.1,2.6,3,4.6
OH,Ohio,4,2,17,0,0.5,0.9,3.6,3.6,5.2
OH,Ohio,4,3,17,2,2,2,4.7,4.7,6.3
OH,Ohio,4,4,16,3,3,3,5.7,5.3,6.9
OH,Ohio,4,5,15,2,2,2,4.7,4.7,6.3
OH,Ohio,4,6,15,0,0.5,0.9,3.6,3.6,5.2
NY,New York,3,1,19,2,2.5,2.9,4.7,5.1,6.3
NY,New York,3,2,20,3,3.5,3.9,5.7,5.7,6.9
NY,New York,3,3,20,5,5,5,6.8,6.8,8
NY,New York,3,4,19,6,6,6,7.8,7.4,8.6
NY,New York,3,5,18,5,5,5,6.8,6.8,8
NY,New York,3,6,18,3,3.5,3.9,5.7,5.7,6.9
NV,Nevada,5,1,5,-4,-3.5,-3.1,0.5,0.9,2.9
NV,Nevada,5,2,6,-3,-2.5,-2.1,1.5,1.5,3.5
NV,Nevada,5,3,6,-1,-1,-1,2.6,2.6,4.6
NV,Nevada,5,4,5,0,0,0,3.6,3.2,5.2
NV,Nevada,5,5,4,-1,-1,-1,2.6,2.6,4.6
NV,Nevada,5,6,4,-3,-2.5,-2.1,1.5,1.5,3.5
NM,New Mexico,7,1,7,-10,-9.5,-9.1,-3.7,-3.3,-0.5
NM,New Mexico,7,2,8,-9,-8.5,-8.1,-2.7,-2.7,0.1
NM,New Mexico,7,3,8,-7,-7,-7,-1.6,-1.6,1.2
NM,New Mexico,7,4,7,-6,-6,-6,-0.6,-1,1.8
NM,New Mexico,7,5,6,-7,-7,-7,-1.6,-1.6,1.2
NM,New Mexico,7,6,6,-9,-8.5,-8.1,-2.7,-2.7,0.1
NJ,New Jersey,4,1,20,-1,-0.5,-0.1,2.6,3,4.6
NJ,New Jersey,4,2,21,0,0.5,0.9,3.6,3.6,5.2
NJ,New Jersey,4,3,21,2,2,2,4.7,4.7,6.3
NJ,New Jersey,4,4,20,3,3,3,5.7,5.3,6.9
NJ,New Jersey,4,5,19,2,2,2,4.7,4.7,6.3
NJ,New Jersey,4,6,19,0,0.5,0.9,3.6,3.6,5.2
NH,New Hampshire,2,1,22,5,5.5,5.9,6.8,7.2,8
NH,New Hampshire,2,2,23,6,6.5,6.9,7.8,7.8,8.6
NH,New Hampshire,2,3,23,8,8,8,8.9,8.9,9.7
NH,New Hampshire,2,4,22,9,9,9,9.9,9.5,10.3
NH,New Hampshire,2,5,21,8,8,8,8.9,8.9,9.7
NH,New Hampshire,2,6,21,6,6.5,6.9,7.8,7.8,8.6
NE,Nebraska,5,1,9,-4,-3.5,-3.1,0.5,0.9,2.9
NE,Nebraska,5,2,10,-3,-2.5,-2.1,1.5,1.5,3.5
NE,Nebraska,5,3,10,-1,-1,-1,2.6,2.6,4.6
NE,Nebraska,5,4,9,0,0,0,3.6,3.2,5.2
NE,Nebraska,5,5,8,-1,-1,-1,2.6,2.6,4.6
NE,Nebraska,5,6,8,-3,-2.5,-2.1,1.5,1.5,3.5
ND,North Dakota,3,1,7,2,2.5,2.9,4.7,5.1,6.3
ND,North Dakota,3,2,8,3,3.5,3.9,5.7,5.7,6.9
ND,North Dakota,3,3,8,5,5,5,6.8,6.8,8
ND,North Dakota,3,4,7,6,6,6,7.8,7.4,8.6
ND,North Dakota,3,5,6,5,5,5,6.8,6.8,8
ND,North Dakota,3,6,6,3,3.5,3.9,5.7,5.7,6.9
NC,North Carolina,6,1,18,-7,-6.5,-6.1,-1.6,-1.2,1.2
NC,North Carolina,6,2,19,-6,-5.5,-5.1,-0.6,-0.6,1.8
NC,North Carolina,6,3,19,-4,-4,-4,0.5,0.5,2.9
NC,North Carolina,6,4,18,-3,-3,-3,1.5,1.1,3.5
NC,North Carolina,6,5,17,-4,-4,-4,0.5,0.5,2.9
NC,North Carolina,6,6,17,-6,-5.5,-5.1,-0.6,-0.6,1.8
MT,Montana,3,1,5,2,2.5,2.9,4.7,5.1,6.3
MT,Montana,3,2,6,3,3.5,3.9,5.7,5.7,6.9
MT,Montana,3,3,6,5,5,5,6.8,6.8,8
MT,Montana,3,4,5,6,6,6,7.8,7.4,8.6
MT,Montana,3,5,4,5,5,5,6.8,6.8,8
MT,Montana,3,6,4,3,3.5,3.9,5.7,5.7,6.9
MS,Mississippi,7,1,13,-10,-9.5,-9.1,-3.7,-3.3,-0.5
MS,Mississippi,7,2,14,-9,-8.5,-8.1,-2.7,-2.7,0.1
MS,Mississippi,7,3,14,-7,-7,-7,-1.6,-1.6,1.2
MS,Mississippi,7,4,13,-6,-6,-6,-0.6,-1,1.8
MS,Mississippi,7,5,12,-7,-7,-7,-1.6,-1.6,1.2
MS,Mississippi,7,6,12,-9,-8.5,-8.1,-2.7,-2.7,0.1
MO,Missouri,5,1,11,-4,-3.5,-3.1,0.5,0.9,2.9
MO,Missouri,5,2,12,-3,-2.5,-2.1,1.5,1.5,3.5
MO,Missouri,5,3,12,-1,-1,-1,2.6,2.6,4.6
MO,Missouri,5,4,11,0,0,0,3.6,3.2,5.2
MO,Missouri,5,5,10,-1,-1,-1,2.6,2.6,4.6
MO,Missouri,5,6,10,-3,-2.5,-2.1,1.5,1.5,3.5
MN,Minnesota,3,1,9,2,2.5,2.9,4.7,5.1,6.3
MN,Minnesota,3,2,10,3,3.5,3.9,5.7,5.7,6.9
MN,Minnesota,3,3,10,5,5,5,6.8,6.8,8
MN,Minnesota,3,4,9,6,6,6,7.8,7.4,8.6
MN,Minnesota,3,5,8,5,5,5,6.8,6.8,8
MN,Minnesota,3,6,8,3,3.5,3.9,5.7,5.7,6.9
MI,Michigan,3,1,15,2,2.5,2.9,4.7,5.1,6.3
MI,Michigan,3,2,16,3,3.5,3.9,5.7,5.7,6.9
MI,Michigan,3,3,16,5,5,5,6.8,6.8,8
MI,Michigan,3,4,15,6,6,6,7.8,7.4,8.6
MI,Michigan,3,5,14,5,5,5,6.8,6.8,8
MI,Michigan,3,6,14,3,3.5,3.9,5.7,5.7,6.9
ME,Maine,1,1,23,8,8.5,8.9,8.9,9.3,9.7
ME,Maine,1,2,24,9,9.5,9.9,9.9,9.9,10.3
ME,Maine,1,3,24,11,11,11,11,11,11.4
ME,Maine,1,4,23,12,12,12,12,11.6,12
ME,Maine,1,5,22,11,11,11,11,11,11.4
ME,Maine,1,6,22,9,9.5,9.9,9.9,9.9,10.3
MD,Maryland,5,1,17,-4,-3.5,-3.1,0.5,0.9,2.9
MD,Maryland,5,2,18,-3,-2.5,-2.1,1.5,1.5,3.5
MD,Maryland,5,3,18,-1,-1,-1,2.6,2.6,4.6
MD,Maryland,5,4,17,0,0,0,3.6,3.2,5.2
MD,Maryland,5,5,16,-1,-1,-1,2.6,2.6,4.6
MD,Maryland,5,6,16,-3,-2.5,-2.1,1.5,1.5,3.5
MA,Massachusetts,3,1,21,2,2.5,2.9,4.7,5.1,6.3
MA,Massachusetts,3,2,22,3,3.5,3.9,5.7,5.7,6.9
MA,Massachusetts,3,3,22,5,5,5,6.8,6.8,8
MA,Massachusetts,3,4,21,6,6,6,7.8,7.4,8.6
MA,Massachusetts,3,5,20,5,5,5,6.8,6.8,8
MA,Massachusetts,3,6,20,3,3.5,3.9,5.7,5.7,6.9
LA,Louisiana,7,1,11,-10,-9.5,-9.1,-3.7,-3.3,-0.5
LA,Louisiana,7,2,12,-9,-8.5,-8.1,-2.7,-2.7,0.1
LA,Louisiana,7,3,12,-7,-7,-7,-1.6,-1.6,1.2
LA,Louisiana,7,4,11,-6,-6,-6,-0.6,-1,1.8
LA,Louisiana,7,5,10,-7,-7,-7,-1.6,-1.6,1.2
LA,Louisiana,7,6,10,-9,-8.5,-8.1,-2.7,-2.7,0.1
KY,Kentucky,5,1,13,-4,-3.5,-3.1,0.5,0.9,2.9
KY,Kentucky,5,2,14,-3,-2.5,-2.1,1.5,1.5,3.5
KY,Kentucky,5,3,14,-1,-1,-1,2.6,2.6,4.6
KY,Kentucky,5,4,13,0,0,0,3.6,3.2,5.2
KY,Kentucky,5,5,12,-1,-1,-1,2.6,2.6,4.6
KY,Kentucky,5,6,12,-3,-2.5,-2.1,1.5,1.5,3.5
KS,Kansas,6,1,10,-7,-6.5,-6.1,-1.6,-1.2,1.2
KS,Kansas,6,2,11,-6,-5.5,-5.1,-0.6,-0.6,1.8
KS,Kansas,6,3,11,-4,-4,-4,0.5,0.5,2.9
KS,Kansas,6,4,10,-3,-3,-3,1.5,1.1,3.5
KS,Kansas,6,5,9,-4,-4,-4,0.5,0.5,2.9
KS,Kansas,6,6,9,-6,-5.5,-5.1,-0.6,-0.6,1.8
IN,Indiana,4,1,14,-1,-0.5,-0.1,2.6,3,4.6
IN,Indiana,4,2,15,0,0.5,0.9,3.6,3.6,5.2
IN,Indiana,4,3,15,2,2,2,4.7,4.7,6.3
IN,Indiana,4,4,14,3,3,3,5.7,5.3,6.9
IN,Indiana,4,5,13,2,2,2,4.7,4.7,6.3
IN,Indiana,4,6,13,0,0.5,0.9,3.6,3.6,5.2
IL,Illinois,4,1,12,-1,-0.5,-0.1,2.6,3,4.6
IL,Illinois,4,2,13,0,0.5,0.9,3.6,3.6,5.2
IL,Illinois,4,3,13,2,2,2,4.7,4.7,6.3
IL,Illinois,4,4,12,3,3,3,5.7,5.3,6.9
IL,Illinois,4,5,11,2,2,2,4.7,4.7,6.3
IL,Illinois,4,6,11,0,0.5,0.9,3.6,3.6,5.2
ID,Idaho,4,1,4,-1,-0.5,-0.1,2.6,3,4.6
ID,Idaho,4,2,5,0,0.5,0.9,3.6,3.6,5.2
ID,Idaho,4,3,5,2,2,2,4.7,4.7,6.3
ID,Idaho,4,4,4,3,3,3,5.7,5.3,6.9
ID,Idaho,4,5,3,2,2,2,4.7,4.7,6.3
ID,Idaho,4,6,3,0,0.5,0.9,3.6,3.6,5.2
IA,Iowa,4,1,10,-1,-0.5,-0.1,2.6,3,4.6
IA,Iowa,4,2,11,0,0.5,0.9,3.6,3.6,5.2
IA,Iowa,4,3,11,2,2,2,4.7,4.7,6.3
IA,Iowa,4,4,10,3,3,3,5.7,5.3,6.9
IA,Iowa,4,5,9,2,2,2,4.7,4.7,6.3
IA,Iowa,4,6,9,0,0.5,0.9,3.6,3.6,5.2
HI,Hawaii,9,1,1,-16,-15.5,-15.1,-7.9,-7.5,-3.9
HI,Hawaii,9,2,2,-15,-14.5,-14.1,-6.9,-6.9,-3.3
HI,Hawaii,9,3,2,-13,-13,-13,-5.8,-5.8,-2.2
HI,Hawaii,9,4,1,-12,-12,-12,-4.8,-5.2,-1.6
HI,Hawaii,9,5,0,-13,-13,-13,-5.8,-5.8,-2.2
HI,Hawaii,9,6,0,-15,-14.5,-14.1,-6.9,-6.9,-3.3
GA,Georgia,8,1,16,-13,-12.5,-12.1,-5.8,-5.4,-2.2
GA,Georgia,8,2,17,-12,-11.5,-11.1,-4.8,-4.8,-1.6
GA,Georgia,8,3,17,-10,-10,-10,-3.7,-3.7,-0.5
GA,Georgia,8,4,16,-9,-9,-9,-2.7,-3.1,0.1
GA,Georgia,8,5,15,-10,-10,-10,-3.7,-3.7,-0.5
GA,Georgia,8,6,15,-12,-11.5,-11.1,-4.8,-4.8,-1.6
FL,Florida,9,1,17,-16,-15.5,-15.1,-7.9,-7.5,-3.9
FL,Florida,9,2,18,-15,-14.5,-14.1,-6.9,-6.9,-3.3
FL,Florida,9,3,18,-13,-13,-13,-5.8,-5.8,-2.2
FL,Florida,9,4,17,-12,-12,-12,-4.8,-5.2,-1.6
FL,Florida,9,5,16,-13,-13,-13,-5.8,-5.8,-2.2
FL,Florida,9,6,16,-15,-14.5,-14.1,-6.9,-6.9,-3.3
DE,Delaware,5,1,19,-4,-3.5,-3.1,0.5,0.9,2.9
DE,Delaware,5,2,20,-3,-2.5,-2.1,1.5,1.5,3.5
DE,Delaware,5,3,20,-1,-1,-1,2.6,2.6,4.6
DE,Delaware,5,4,19,0,0,0,3.6,3.2,5.2
DE,Delaware,5,5,18,-1,-1,-1,2.6,2.6,4.6
DE,Delaware,5,6,18,-3,-2.5,-2.1,1.5,1.5,3.5
DC,District of Columbia,6,1,24,-7,-6.5,-6.1,-1.6,-1.2,1.2
DC,District of Columbia,6,2,25,-6,-5.5,-5.1,-0.6,-0.6,1.8
DC,District of Columbia,6,3,25,-4,-4,-4,0.5,0.5,2.9
DC,District of Columbia,6,4,24,-3,-3,-3,1.5,1.1,3.5
DC,District of Columbia,6,5,23,-4,-4,-4,0.5,0.5,2.9
DC,District of Columbia,6,6,23,-6,-5.5,-5.1,-0.6,-0.6,1.8
